,accuracy,precision,X,Y,Class1,Class2
0,0.9866666666666667,0.9793103448275862,0.2476962285674847,0.27224208050503296,-1.9307142857141875,1.9307142857143627
1,0.9766666666666667,0.9811320754716981,0.2323867885365642,0.2952710342401517,0.5257142857144441,-0.5257142857141563
2,0.97,0.9490445859872612,0.15056870615783585,0.35860050059195214,-1.7628571428570305,1.7628571428572906
3,0.9866666666666667,0.9863945578231292,0.10120748912163259,0.4123720161079117,-0.9421428571427741,0.9421428571428611
4,0.99,0.9808917197452229,0.0545925720971878,0.44712701370795305,-0.9885714285713728,0.9885714285714938
5,0.9933333333333333,0.9933333333333333,0.019890026160638046,0.47828797582266114,0.19142857142865438,-0.19142857142852077
6,0.99,0.9865771812080537,0.012513927945998017,0.48212634898725865,-0.017857142857073294,0.017857142857152453
7,0.9866666666666667,0.987012987012987,0.07742234101343852,0.4317599486415293,-0.36142857142846907,0.3614285714286279
8,0.9866666666666667,0.987012987012987,0.1093157441534787,0.4034451400472875,0.2964285714287026,-0.2964285714284466
9,0.9633333333333334,0.9779411764705882,0.16519672944700348,0.34549997821891426,2.400000000000059,-2.3999999999999178
10,0.9666666666666667,0.9548387096774194,0.19930410279341268,0.31759745747051604,-1.4057142857141414,1.405714285714386
11,0.9733333333333334,0.965034965034965,0.28265200951468716,0.22752137051792887,-0.5749999999999145,0.5750000000001099
12,0.9733333333333334,0.9612903225806452,0.37162913669037645,0.14377811684451536,-3.2664285714285675,3.266428571428619
13,0.98,0.98,0.40445054376206385,0.11905449101880156,-0.6149999999999383,0.6150000000001009
14,0.9833333333333333,0.9793103448275862,0.44917299647447045,0.06708086948917592,-0.5964285714285029,0.5964285714286353
15,0.9833333333333333,0.9867549668874173,0.47466390279685666,0.02427929727269034,0.01285714285721093,-0.01285714285707476
16,0.9933333333333333,1.0,0.4807457836086787,0.02328066295146884,-0.1757142857142534,0.17571428571434858
17,0.98,0.9863013698630136,0.4496300168141755,0.06488504010512931,-0.1664285714285011,0.16642857142861725
18,0.99,0.9863945578231292,0.40331553573816403,0.11213312583380577,-0.6464285714285598,0.6464285714286239
19,0.9733333333333334,0.9647887323943662,0.3654736014075093,0.15513925083618943,-0.9571428571427433,0.9571428571429917
20,0.98,0.9808917197452229,0.302184393407242,0.22141414946489515,-0.5657142857141629,0.5657142857144014
