,accuracy,precision,X,Y
0,0.988,0.9843953185955787,0.24883136756236737,0.27512991391893343
1,0.9833333333333333,1.0,0.2727331809488136,0.24881813406908448
2,0.99,0.9870967741935484,0.26068900810938206,0.25527999838101084
3,0.9866666666666667,1.0,0.04704351445951916,0.4545480442820168
4,0.9933333333333333,0.9936708860759493,0.04553458195613659,0.4553748746642277
5,0.99,0.98,0.11890299179376793,0.38896069481204765
6,0.9966666666666667,1.0,0.12931921410725775,0.3844254687545962
7,0.99,0.9803921568627451,0.399541489856752,0.11944161180946054
8,0.98,0.9808917197452229,0.4043508108842768,0.12128518959415445
9,1.0,1.0,0.46631094333062134,0.04423317501247131
10,0.98,0.9726027397260274,0.46901095825675204,0.029780082759225935
