,accuracy,precision,X,Y
0,0.9893333333333333,0.9932795698924731,0.257483978092366,0.2721253413470159
1,0.9733333333333334,0.987012987012987,0.25087580737181414,0.2732932844021114
2,0.9933333333333333,0.99375,0.03555386677556471,0.4601001885069133
3,0.9766666666666667,0.967741935483871,0.2675391180301049,0.25241725538613463
4,0.9866666666666667,0.9863013698630136,0.03402267883374201,0.4603261449014382
5,0.9833333333333333,0.9795918367346939,0.2603648678149372,0.2663422921018723
6,0.98,0.9859154929577465,0.03631842866820969,0.4650307982614258
7,0.9766666666666667,0.9866666666666667,0.27917719723420636,0.2446131253727556
8,0.9933333333333333,1.0,0.037654942132602114,0.4592490407438176
9,0.9666666666666667,0.9722222222222222,0.27011878868095807,0.24726985805086302
10,0.99,0.9935064935064936,0.05114373565989034,0.45363997106041865
