,accuracy,precision,X,Y,Class1,Class2
0,0.98,0.9671052631578947,0.23884755176353947,0.2707758259127701,-1.7442857142855588,1.7442857142859043
1,0.98,0.9864864864864865,0.258069270036736,0.2568858341142683,1.792142857142993,-1.7921428571426894
2,0.9833333333333333,0.9803921568627451,0.26415457596720854,0.26337959305821507,-0.16357142857124568,0.1635714285715578
3,0.99,0.9866666666666667,0.26109078796399793,0.25443634624814776,-0.41785714285701825,0.4178571428572695
4,0.9733333333333334,0.961038961038961,0.2657347354889755,0.2509111688278438,-0.2542857142856092,0.2542857142858279
5,0.9933333333333333,1.0,0.05097126529842238,0.4604876506812263,1.617857142857221,-1.617857142857083
6,0.9966666666666667,1.0,0.035915683343392436,0.4621003188586808,1.2050000000000285,-1.2049999999999623
7,0.99,0.9933333333333333,0.033326009451006326,0.4677786711428298,-0.44142857142848724,0.4414285714285527
8,0.9933333333333333,1.0,0.040204145199944016,0.45847327622680295,1.095714285714331,-1.0957142857142315
9,0.9733333333333334,0.993421052631579,0.14583865058493464,0.3865388970373837,1.685000000000025,-1.6849999999999732
10,0.9966666666666667,1.0,0.1267266733342037,0.3870357374197115,0.12928571428576802,-0.12928571428563693
11,0.9733333333333334,0.9605263157894737,0.13583471145826884,0.381515236591303,-1.0371428571427865,1.0371428571429562
12,0.9866666666666667,0.9795918367346939,0.1530772017791347,0.3693806568136075,-0.7599999999998759,0.7600000000000511
13,0.9833333333333333,0.9870967741935484,0.37115969686344324,0.14814515918029503,1.0821428571429514,-1.0821428571428067
14,0.99,0.9811320754716981,0.367529622267446,0.1381762347905579,-0.6935714285713628,0.6935714285715208
15,0.9733333333333334,0.9863013698630136,0.3869318614621809,0.1216178028964148,0.8764285714286782,-0.8764285714284991
16,0.9833333333333333,0.9865771812080537,0.3752960049386816,0.144656854036406,0.9757142857143773,-0.9757142857142136
17,0.9966666666666667,1.0,0.46379934608918966,0.04184202353315194,1.3471428571428985,-1.3471428571428679
18,0.9866666666666667,0.9801324503311258,0.4707463194934501,0.03234693943510536,-0.6378571428571647,0.6378571428571554
19,0.9733333333333334,0.9865771812080537,0.46021236602281507,0.04107994436414988,0.4621428571428573,-0.46214285714281156
20,1.0,1.0,0.4718560794931016,0.04001127318029504,-0.3914285714285385,0.39142857142861964
