,accuracy,precision,X,Y,Class1,Class2
0,0.9766666666666667,0.9797297297297297,0.26247960107986473,0.2578221895702548,-0.498571428571272,0.4985714285715622
1,0.97,0.9865771812080537,0.25671899869143355,0.25783848552398037,0.3157142857144094,-0.3157142857141774
2,0.9833333333333333,0.9867549668874173,0.03475225577728256,0.46710115667947333,0.08357142857147598,-0.0835714285713414
3,0.9733333333333334,0.9594594594594594,0.2629484658104843,0.25553794754116693,-2.710714285714115,2.710714285714472
4,0.9866666666666667,0.9865771812080537,0.026808796602497704,0.4701898936977789,0.5264285714286052,-0.5264285714285258
5,0.9766666666666667,0.9620253164556962,0.27039326631374655,0.252552505429835,-1.1007142857141612,1.1007142857144199
6,0.9966666666666667,0.9931972789115646,0.036077014666618445,0.46696439068655754,-0.0035714285714239513,0.0035714285714487093
7,0.9733333333333334,0.972972972972973,0.2649424654575795,0.23966183207843064,-1.4192857142855921,1.4192857142858653
8,0.9966666666666667,1.0,0.04846165148709377,0.46343581454788674,-0.5249999999999447,0.5250000000000092
9,0.98,0.9868421052631579,0.26255552040685787,0.25635586125212256,1.697142857142997,-1.6971428571427416
10,0.9933333333333333,0.9871794871794872,0.03689149836731695,0.45968322650506127,-1.0028571428571598,1.0028571428571562
