,accuracy,precision,X,Y,X_Class1,X_Class2,Y_Class1,Y_Class2
0,0.9833333333333333,0.9859154929577465,0.2627482896680421,0.2535352554585886,-1.270951219115199,1.3484176373712808,1.6517127592909104,-0.8042596242777249
1,0.9833333333333333,0.9863013698630136,0.2410329094486624,0.28347522471755143,-1.3576784084393054,1.1798572562174796,1.334717344506266,-1.3918178656154194
2,0.98,0.9748427672955975,0.16357239543832824,0.3587681901358606,-0.6860091013265976,1.3075968615847497,1.6489470268339679,-1.8041316515271826
3,0.9666666666666667,0.993103448275862,0.09680611991251799,0.40578722593264804,-0.3747166378795138,0.9165594945679656,2.0745815198771678,-1.9606447267810112
4,0.9866666666666667,0.9864864864864865,0.0663672170397875,0.4363380574128598,-0.509473340015661,0.5312573294969297,2.3671138913742245,-2.1222364112821523
5,0.9933333333333333,0.9933333333333333,0.02278486535553849,0.4775834772294464,-0.09047372157617971,0.3494276467678463,2.2971891318241116,-2.225846907645625
6,0.99,0.9801324503311258,0.01975903322581274,0.47605423077123615,0.37738810866645683,0.01355706136231967,2.3706325067089087,-2.2295357327499796
7,0.9966666666666667,0.9932885906040269,0.05780988825582057,0.4568316032519802,0.8383018127866031,-0.08993500621060654,2.359575310222897,-2.1107625882781473
8,0.99,0.9931972789115646,0.11068586525103266,0.4113686062709573,0.6021486366302117,-0.8659577153994258,1.8870291237950563,-2.0563878852305706
9,0.9766666666666667,0.974025974025974,0.1502905850916107,0.3651618526801916,1.038288559029105,-0.797233506027932,1.6626867704423385,-1.88341945616303
10,0.9733333333333334,0.9668874172185431,0.24201750639067263,0.2751317307087402,1.3053629134736622,-1.330236947938764,1.3820465291950736,-1.3116561520934475
11,0.9833333333333333,0.9801324503311258,0.29939815249752594,0.21988303488035876,1.5622645256533858,-1.3681663548569438,1.1938229722498663,-1.174827498210508
12,0.99,0.9866666666666667,0.3661582730313427,0.15461232854226054,1.8408948059532668,-1.759701873048484,0.7535479377851406,-0.9325243235645083
13,0.9766666666666667,0.967948717948718,0.40258875023948965,0.10722778133654973,2.1190247689958492,-1.8332507017139703,0.7600941132269675,-0.7568120132436017
14,0.9933333333333333,0.9933333333333333,0.4352612438410602,0.061428779969202874,2.335044396882559,-2.1423636657839324,0.1421711316435805,-0.7981849838266596
15,0.98,0.9791666666666666,0.4816544308163052,0.01617086308235403,2.671961847744908,-2.38301899575524,0.07925676836805887,-0.3449221238723521
16,0.9766666666666667,0.974025974025974,0.471811643862365,0.027623727651562836,2.0925778688005794,-2.642522376335552,-0.3948707522101104,0.2105940200086412
17,0.9833333333333333,0.9861111111111112,0.430639869671713,0.07221611103186026,2.121470452101765,-2.0547738397723916,-0.4848181969523726,0.5048526104175128
18,0.98,0.9929577464788732,0.4034450927998545,0.10758396466937403,2.1123431961943906,-1.8954621173748247,-0.8024580964529532,0.6440174341075399
19,0.9566666666666667,0.9490445859872612,0.3533262869297383,0.16484244812940813,1.7900444897802823,-1.7149837412813493,-0.9699383178672101,1.2271894305663373
20,0.9666666666666667,0.9452054794520548,0.3101357108894814,0.20005926883299088,1.567246909992588,-1.482432155916648,-1.2199851239367592,0.8188218551990736
