,accuracy,precision,X,Y
0,0.996,0.9973297730307076,0.26998294037044257,0.26439783966130787
1,0.98,1.0,0.26653016885549324,0.24870263533918346
2,0.9833333333333333,0.9791666666666666,0.25494649603493685,0.2616579347492825
3,0.98,0.9863013698630136,0.2689446968006223,0.24898757101461716
4,0.98,0.9726027397260274,0.24904966211515353,0.2761118831000483
5,0.9733333333333334,1.0,0.2733001715688713,0.24373653339293364
6,0.9633333333333334,0.9671052631578947,0.235326571700285,0.27360883134846464
7,0.96,0.9530201342281879,0.2485989418237902,0.26090802489001697
8,0.98,0.9731543624161074,0.2547577745588583,0.2646877112949335
9,0.9833333333333333,0.9793103448275862,0.24583830068941892,0.2673579294274516
10,0.97,0.9559748427672956,0.2447148070771341,0.26962503383775155
11,0.97,0.9794520547945206,0.2517399716951866,0.27656452245105917
12,0.9766666666666667,0.9933774834437086,0.26957565524439514,0.24995671699061536
13,0.9766666666666667,0.9801324503311258,0.2679870487921848,0.23742772555226893
14,0.9766666666666667,0.9736842105263158,0.2570826149591834,0.2726334234682526
15,0.9633333333333334,0.9617834394904459,0.2662879848968153,0.2718726788865119
16,0.9666666666666667,0.9668874172185431,0.25475601149741023,0.2563416418722038
17,0.9933333333333333,1.0,0.2836823817140916,0.24165699221401576
18,0.9833333333333333,0.98,0.2593072759838527,0.24633538289627868
19,0.9666666666666667,0.971830985915493,0.27448137630777336,0.24358805276634357
20,0.97,0.9565217391304348,0.2611872954434235,0.2534529172560274
