,accuracy,precision,X,Y
0,0.993,0.9917864476386037,0.26723496430903104,0.2696051417400973
1,0.98,0.9733333333333334,0.2664503479079532,0.23777733427844439
2,0.9966666666666667,1.0,0.04014446949229966,0.46078684904966355
3,0.9866666666666667,0.993421052631579,0.2638666342629993,0.25013234387111766
4,1.0,1.0,0.04478656802597115,0.4536003697225195
5,0.9733333333333334,0.9801324503311258,0.2556940426838551,0.25715580459419346
6,0.9933333333333333,1.0,0.028521826790233698,0.4699648725249467
7,0.98,0.9801324503311258,0.256104376832433,0.2558723534413881
8,0.99,0.9797297297297297,0.037066612133917834,0.4615289828518924
9,0.9866666666666667,0.9870967741935484,0.2533004605231043,0.2546782452458741
10,0.9933333333333333,0.9873417721518988,0.038460024239297286,0.4609491189412655
