,accuracy,precision,X,Y
0,0.992,0.9919028340080972,0.2663326498440515,0.2648759276486765
1,0.9733333333333334,0.9647887323943662,0.19382067274787745,0.3314978528997391
2,0.98,0.9738562091503268,0.09364119616304753,0.4146901971993017
3,0.9833333333333333,0.9864864864864865,0.013439468835670591,0.48458412344305307
4,0.98,0.9871794871794872,0.08001418645496552,0.4214447559473062
5,0.97,0.9798657718120806,0.20808148508770194,0.3095486538494233
6,0.9533333333333334,0.9466666666666667,0.3282889554978235,0.20894608120113858
7,0.9866666666666667,0.9932432432432432,0.4356945157710142,0.07346135438896514
8,0.9933333333333333,0.9872611464968153,0.4847059107680592,0.01307641659264095
9,0.97,0.9929577464788732,0.41424061093084075,0.08835822768001046
10,0.96,0.9386503067484663,0.3125120835075196,0.20170032182873754
