,accuracy,precision,X,Y
0,0.994,0.996078431372549,0.27255257640849967,0.25847263580495183
1,0.97,0.9798657718120806,0.23400097366499323,0.2840612466799103
2,0.9733333333333334,0.9685534591194969,0.14258908155825953,0.3733506111512889
3,0.9866666666666667,1.0,0.10386445779931283,0.40753099280062305
4,0.98,0.9810126582278481,0.06485531295167525,0.4470296306122676
5,0.9866666666666667,0.9727891156462585,0.024684498380172355,0.4751874805438039
6,0.9833333333333333,0.9864864864864865,0.015310394884866987,0.4818327635223694
7,0.9966666666666667,0.993421052631579,0.06488279285829479,0.44821840711333816
8,0.9866666666666667,0.9929577464788732,0.11246922670215667,0.4117199795776551
9,0.9933333333333333,1.0,0.18183340836240555,0.34176344814629106
10,0.9866666666666667,0.9802631578947368,0.2280684826978067,0.3024960269343293
11,0.96,0.935064935064935,0.2764756114148201,0.2349778499452577
12,0.9733333333333334,0.9722222222222222,0.3552975624100737,0.16679644779773317
13,0.9833333333333333,0.9675324675324676,0.38770603713307317,0.11479308361458448
14,0.9866666666666667,0.9865771812080537,0.4375462130732395,0.0627679268083527
15,0.99,0.9870967741935484,0.48069308534374594,0.022291848286327853
16,0.9933333333333333,0.9935897435897436,0.4728217709759139,0.026572950284975194
17,0.9733333333333334,0.9735099337748344,0.454926699585076,0.05232355929300778
18,0.9666666666666667,0.9795918367346939,0.41401626508596867,0.09841948449806275
19,0.9866666666666667,0.9865771812080537,0.36202825644950964,0.15466993349010283
20,0.9866666666666667,0.9932432432432432,0.284761533731247,0.2335097281380818
